"","lr_pair","ligand","receptor"
"1635","Ntf3_Ntrk1","Ntf3","Ntrk1"
"1636","Bdnf_Ntrk1","Bdnf","Ntrk1"
"1637","Ntf5_Ntrk1","Ntf5","Ntrk1"
"1638","Ngf_Ntrk1","Ngf","Ntrk1"
"1639","Crp_Fcgr1","Crp","Fcgr1"
"1640","Tfpi_F3","Tfpi","F3"
"1641","F7_F3","F7","F3"
"1642","Adam10_Tspan5","Adam10","Tspan5"
"1643","Tac1_Tacr3","Tac1","Tacr3"
"1644","Tac2_Tacr3","Tac2","Tacr3"
"1645","Gdf10_Bmpr1b","Gdf10","Bmpr1b"
"1646","Bmp6_Bmpr1b","Bmp6","Bmpr1b"
"1647","Gdf7_Bmpr1b","Gdf7","Bmpr1b"
"1648","Bmp4_Bmpr1b","Bmp4","Bmpr1b"
"1649","Gdf5_Bmpr1b","Gdf5","Bmpr1b"
"1650","Gdf6_Bmpr1b","Gdf6","Bmpr1b"
"1651","Bmp10_Bmpr1b","Bmp10","Bmpr1b"
"1652","Efna5_Epha7","Efna5","Epha7"
"1653","Efnb1_Epha7","Efnb1","Epha7"
"1654","Apoe_Abca1","Apoe","Abca1"
"1655","Pltp_Abca1","Pltp","Abca1"
"1656","Apoa1_Abca1","Apoa1","Abca1"
"1657","Nppb_Npr2","Nppb","Npr2"
"1658","Nppa_Npr2","Nppa","Npr2"
"1659","Wnt7a_Reck","Wnt7a","Reck"
"1660","Lep_Leprot","Lep","Leprot"
"1661","Grn_Tnfrsf1b","Grn","Tnfrsf1b"
"1662","Adam17_Tnfrsf1b","Adam17","Tnfrsf1b"
"1663","Efna5_Epha8","Efna5","Epha8"
"1664","Ihh_Ptch2","Ihh","Ptch2"
"1665","Tnfsf9_Tnfrsf9","Tnfsf9","Tnfrsf9"
"1666","Cck_Cckar","Cck","Cckar"
"1667","Fgf21_Klb","Fgf21","Klb"
"1668","Fgf15_Klb","Fgf15","Klb"
"1669","Gnrh1_Gnrhr","Gnrh1","Gnrhr"
"1670","Tgfb2_Tgfbr3","Tgfb2","Tgfbr3"
"1671","Inhba_Tgfbr3","Inhba","Tgfbr3"
"1672","Thbs1_Scarb2","Thbs1","Scarb2"
"1673","Bgn_P2rx4","Bgn","P2rx4"
"1674","Mmp14_Flt1","Mmp14","Flt1"
"1675","Vegfa_Flt1","Vegfa","Flt1"
"1676","Trf_Tfr2","Trf","Tfr2"
"1677","Adam10_Gpnmb","Adam10","Gpnmb"
"1678","S100a10_Trpv5","S100a10","Trpv5"
"1679","S100a10_Trpv6","S100a10","Trpv6"
"1680","Tac1_Tacr1","Tac1","Tacr1"
"1681","Tac2_Tacr1","Tac2","Tacr1"
"1682","Vwf_Gp9","Vwf","Gp9"
"1683","Nrtn_Ret","Nrtn","Ret"
"1684","Artn_Ret","Artn","Ret"
"1685","Shank3_Ret","Shank3","Ret"
"1686","Crp_Olr1","Crp","Olr1"
"1687","Apoe_Lrp6","Apoe","Lrp6"
"1688","Wnt8b_Lrp6","Wnt8b","Lrp6"
"1689","Sostdc1_Lrp6","Sostdc1","Lrp6"
"1690","Wnt4_Lrp6","Wnt4","Lrp6"
"1691","Apob_Lrp6","Apob","Lrp6"
"1692","Wnt5b_Lrp6","Wnt5b","Lrp6"
"1693","Dkk4_Lrp6","Dkk4","Lrp6"
"1694","Tdgf1_Lrp6","Tdgf1","Lrp6"
"1695","Pth_Lrp6","Pth","Lrp6"
"1696","Rspo3_Lrp6","Rspo3","Lrp6"
"1697","Wnt5a_Lrp6","Wnt5a","Lrp6"
"1698","Guca2b_Gucy2c","Guca2b","Gucy2c"
"1699","Grn_Tnfrsf1a","Grn","Tnfrsf1a"
"1700","Adam17_Tnfrsf1a","Adam17","Tnfrsf1a"
"1701","Fadd_Tnfrsf1a","Fadd","Tnfrsf1a"
"1702","Izumo1_Cd9","Izumo1","Cd9"
"1703","Adam17_Cd9","Adam17","Cd9"
"1704","Adam3_Cd9","Adam3","Cd9"
"1705","Slurp1_Chrna7","Slurp1","Chrna7"
"1706","Sema6d_Tyrobp","Sema6d","Tyrobp"
"1707","Clec4g_Tyrobp","Clec4g","Tyrobp"
"1708","Tnfsf9_Tmem126a","Tnfsf9","Tmem126a"
"1709","Fgf2_Lyve1","Fgf2","Lyve1"
"1710","Cck_Cckbr","Cck","Cckbr"
"1711","Fgf2_Gpc4","Fgf2","Gpc4"
"1712","Col18a1_Gpc4","Col18a1","Gpc4"
"1713","Lgals3_Il13ra2","Lgals3","Il13ra2"
"1714","Il15_Il2rg","Il15","Il2rg"
"1715","Il7_Il2rg","Il7","Il2rg"
"1716","Tac1_Grpr","Tac1","Grpr"
"1717","Grp_Grpr","Grp","Grpr"
"1718","Avp_Avpr2","Avp","Avpr2"
"1719","Amelx_Lamp1","Amelx","Lamp1"
"1720","Wnt7b_Adgra2","Wnt7b","Adgra2"
"1721","Cd14_Tlr3","Cd14","Tlr3"
"1722","Afdn_Nectin1","Afdn","Nectin1"
"1723","Psen1_Nectin1","Psen1","Nectin1"
"1724","Ntn1_Mcam","Ntn1","Mcam"
"1725","C1qtnf5_Mfrp","C1qtnf5","Mfrp"
"1726","Pcsk9_Ldlr","Pcsk9","Ldlr"
"1727","Apoe_Ldlr","Apoe","Ldlr"
"1728","Apob_Ldlr","Apob","Ldlr"
"1729","Lipc_Ldlr","Lipc","Ldlr"
"1730","Slpi_Plscr4","Slpi","Plscr4"
"1731","Prnd_Rpsa","Prnd","Rpsa"
"1732","Ptma_Vipr1","Ptma","Vipr1"
"1733","Adcyap1_Vipr1","Adcyap1","Vipr1"
"1734","Efnb1_Ephb1","Efnb1","Ephb1"
"1735","Mst1_Mst1r","Mst1","Mst1r"
"1736","Adam10_Tspan14","Adam10","Tspan14"
"1737","Rspo2_Lgr6","Rspo2","Lgr6"
"1738","Rspo3_Lgr6","Rspo3","Lgr6"
"1739","Rspo4_Lgr6","Rspo4","Lgr6"
"1740","Gdf10_Bmpr1a","Gdf10","Bmpr1a"
"1741","Bmp6_Bmpr1a","Bmp6","Bmpr1a"
"1742","Bmp8a_Bmpr1a","Bmp8a","Bmpr1a"
"1743","Gdf7_Bmpr1a","Gdf7","Bmpr1a"
"1744","Bmp4_Bmpr1a","Bmp4","Bmpr1a"
"1745","Gdf6_Bmpr1a","Gdf6","Bmpr1a"
"1746","Amh_Bmpr1a","Amh","Bmpr1a"
"1747","Cxcl12_Cmklr1","Cxcl12","Cmklr1"
"1748","Lep_Lepr","Lep","Lepr"
"1749","Ntf3_Ntrk3","Ntf3","Ntrk3"
"1750","Bdnf_Ntrk3","Bdnf","Ntrk3"
"1751","Ngf_Ntrk3","Ngf","Ntrk3"
"1752","Ccl1_Ccr8","Ccl1","Ccr8"
"1753","Flt3l_Flt3","Flt3l","Flt3"
"1754","Ccl5_Ccr3","Ccl5","Ccr3"
"1755","Ccl26_Ccr3","Ccl26","Ccr3"
"1756","Cxcl9_Ccr3","Cxcl9","Ccr3"
"1757","Ccl28_Ccr3","Ccl28","Ccr3"
"1758","Rspo3_Fzd8","Rspo3","Fzd8"
"1759","Wnt5a_Fzd8","Wnt5a","Fzd8"
"1760","Bdnf_Sorcs2","Bdnf","Sorcs2"
"1761","Ngf_Sorcs2","Ngf","Sorcs2"
"1762","Adam10_Tspan10","Adam10","Tspan10"
"1763","Icam1_Muc1","Icam1","Muc1"
"1764","Il22_Il22ra2","Il22","Il22ra2"
"1765","Gpc3_Cd81","Gpc3","Cd81"
"1766","Adam10_Lrp1","Adam10","Lrp1"
"1767","Vwf_Lrp1","Vwf","Lrp1"
"1768","Ctsd_Lrp1","Ctsd","Lrp1"
"1769","Pcsk9_Lrp1","Pcsk9","Lrp1"
"1770","Apoe_Lrp1","Apoe","Lrp1"
"1771","Hsp90aa1_Lrp1","Hsp90aa1","Lrp1"
"1772","Hspa1b_Lrp1","Hspa1b","Lrp1"
"1773","Thbs1_Lrp1","Thbs1","Lrp1"
"1774","Psap_Lrp1","Psap","Lrp1"
"1775","Cxcl12_Dpp4","Cxcl12","Dpp4"
"1776","Cxcl9_Dpp4","Cxcl9","Dpp4"
"1777","Gip_Dpp4","Gip","Dpp4"
"1778","Cxcl10_Dpp4","Cxcl10","Dpp4"
"1779","Gcg_Dpp4","Gcg","Dpp4"
"1780","Adcyap1_Dpp4","Adcyap1","Dpp4"
"1781","Spp1_Itga9","Spp1","Itga9"
"1782","Adam12_Itga9","Adam12","Itga9"
"1783","Tnc_Itga9","Tnc","Itga9"
"1784","Nms_Nmur2","Nms","Nmur2"
"1785","Cxcl2_Ackr1","Cxcl2","Ackr1"
"1786","Bsg_Slc16a1","Bsg","Slc16a1"
"1787","Cd14_Tlr4","Cd14","Tlr4"
"1788","Hmgb1_Tlr4","Hmgb1","Tlr4"
"1789","Fga_Tlr4","Fga","Tlr4"
"1790","Tnc_Tlr4","Tnc","Tlr4"
"1791","Cxcl10_Tlr4","Cxcl10","Tlr4"
"1792","Sftpd_Tlr4","Sftpd","Tlr4"
"1793","S100a9_Tlr4","S100a9","Tlr4"
"1794","S100a1_Tlr4","S100a1","Tlr4"
"1795","S100a8_Tlr4","S100a8","Tlr4"
"1796","Retn_Tlr4","Retn","Tlr4"
"1797","Npb_Npbwr1","Npb","Npbwr1"
"1798","Npw_Npbwr1","Npw","Npbwr1"
"1799","Bmp4_Hjv","Bmp4","Hjv"
"1800","Bmp6_Hjv","Bmp6","Hjv"
"1801","Uts2b_Uts2r","Uts2b","Uts2r"
"1802","Adam10_Tspan15","Adam10","Tspan15"
"1803","Vegfa_Gpc1","Vegfa","Gpc1"
"1804","Ihh_Gpc1","Ihh","Gpc1"
"1805","Col18a1_Gpc1","Col18a1","Gpc1"
"1806","Rspo2_Lgr4","Rspo2","Lgr4"
"1807","Rspo3_Lgr4","Rspo3","Lgr4"
"1808","Adcyap1_Ramp3","Adcyap1","Ramp3"
"1809","Adm2_Ramp3","Adm2","Ramp3"
"1810","Pon2_Htr2a","Pon2","Htr2a"
"1811","Tnfsf12_Tnfrsf25","Tnfsf12","Tnfrsf25"
"1812","Tnfsf15_Tnfrsf25","Tnfsf15","Tnfrsf25"
"1813","Cd14_C3ar1","Cd14","C3ar1"
"1814","Wnt5a_Ror1","Wnt5a","Ror1"
"1815","Vwf_Stab2","Vwf","Stab2"
"1816","Calm1_Trpc5","Calm1","Trpc5"
"1817","Hsp90aa1_Cftr","Hsp90aa1","Cftr"
"1818","Fyn_Spn","Fyn","Spn"
"1819","Icam1_Spn","Icam1","Spn"
"1820","Bsg_Spn","Bsg","Spn"
"1821","Lcn2_Slc22a17","Lcn2","Slc22a17"
"1822","Wnt7b_Fzd4","Wnt7b","Fzd4"
"1823","Wnt5a_Fzd4","Wnt5a","Fzd4"
"1824","Cxcl12_Oprd1","Cxcl12","Oprd1"
"1825","Gnai2_Oprd1","Gnai2","Oprd1"
"1826","Ccl27a_Ackr2","Ccl27a","Ackr2"
"1827","Ccl21a_Ackr2","Ccl21a","Ackr2"
"1828","Ccl28_Ackr2","Ccl28","Ackr2"
"1829","Efna5_Epha10","Efna5","Epha10"
"1830","Uts2b_Sstr5","Uts2b","Sstr5"
"1831","Sema4c_Plxnb2","Sema4c","Plxnb2"
"1832","Vwf_Gp5","Vwf","Gp5"
"1833","Psap_Gpr37","Psap","Gpr37"
"1834","Ccl20_Cxcr3","Ccl20","Cxcr3"
"1835","Ccl19_Cxcr3","Ccl19","Cxcr3"
"1836","Ccl21c_Cxcr3","Ccl21c","Cxcr3"
"1837","Ccl21d_Cxcr3","Ccl21d","Cxcr3"
"1838","Cxcl9_Cxcr3","Cxcl9","Cxcr3"
"1839","Ccl21b_Cxcr3","Ccl21b","Cxcr3"
"1840","Ccl21a_Cxcr3","Ccl21a","Cxcr3"
"1841","Pdcd1lg2_Pdcd2","Pdcd1lg2","Pdcd2"
"1842","Liph_Lpar1","Liph","Lpar1"
"1843","Gnai2_Mtnr1b","Gnai2","Mtnr1b"
"1844","Rtn4_S1pr2","Rtn4","S1pr2"
"1845","Hmgb1_Cxcr4","Hmgb1","Cxcr4"
"1846","Cxcl12_Cxcr4","Cxcl12","Cxcr4"
"1847","Wnt5a_Fzd9","Wnt5a","Fzd9"
"1848","Apela_Aplnr","Apela","Aplnr"
"1849","Cd200_Cd200r1","Cd200","Cd200r1"
"1850","Lama2_Itga2","Lama2","Itga2"
"1851","Vwf_Itga2","Vwf","Itga2"
"1852","Tnc_Itga2","Tnc","Itga2"
"1853","Col4a3_Itga2","Col4a3","Itga2"
"1854","Col8a1_Itga2","Col8a1","Itga2"
"1855","Adam10_Erbb2","Adam10","Erbb2"
"1856","Btc_Erbb2","Btc","Erbb2"
"1857","L1cam_Erbb2","L1cam","Erbb2"
"1858","Nrg1_Erbb2","Nrg1","Erbb2"
"1859","Gnai2_Cnr1","Gnai2","Cnr1"
"1860","Nps_Npsr1","Nps","Npsr1"
"1861","Prok1_Prokr2","Prok1","Prokr2"
"1862","Vwf_Gp1ba","Vwf","Gp1ba"
"1863","Apoe_Sorl1","Apoe","Sorl1"
"1864","Wnt7b_Fzd1","Wnt7b","Fzd1"
"1865","Wnt5a_Fzd1","Wnt5a","Fzd1"
"1866","Insl5_Rxfp4","Insl5","Rxfp4"
"1867","Prok1_Prokr1","Prok1","Prokr1"
"1868","Rtn4_Lingo1","Rtn4","Lingo1"
"1869","Omg_Lingo1","Omg","Lingo1"
"1870","Vwf_Gp1bb","Vwf","Gp1bb"
"1871","Efna5_Epha5","Efna5","Epha5"
"1872","Hmgb1_Tlr1","Hmgb1","Tlr1"
"1873","Ghrl_Ghsr","Ghrl","Ghsr"
"1874","Gcg_Glp2r","Gcg","Glp2r"
"1875","Adam12_Tgfbr2","Adam12","Tgfbr2"
"1876","Ccl27b_Ccr10","Ccl27b","Ccr10"
"1877","Ccl27a_Ccr10","Ccl27a","Ccr10"
"1878","Ccl28_Ccr10","Ccl28","Ccr10"
"1879","Rtn3_Rtn4r","Rtn3","Rtn4r"
"1880","Omg_Rtn4r","Omg","Rtn4r"
"1881","Rtn4_Rtn4r","Rtn4","Rtn4r"
"1882","Prlh_Prlhr","Prlh","Prlhr"
"1883","Calm1_Kcnq3","Calm1","Kcnq3"
"1884","Prl8a2_Pgr","Prl8a2","Pgr"
"1885","Ntn1_Neo1","Ntn1","Neo1"
"1886","Rgmb_Neo1","Rgmb","Neo1"
"1887","Rgma_Neo1","Rgma","Neo1"
"1888","Cxcl12_Gpr17","Cxcl12","Gpr17"
"1889","Adcyap1_Adcyap1r1","Adcyap1","Adcyap1r1"
"1890","Ccl26_Cx3cr1","Ccl26","Cx3cr1"
"1891","Hspg2_Ptprs","Hspg2","Ptprs"
"1892","Bsg_Slc16a7","Bsg","Slc16a7"
"1893","Efna5_Epha3","Efna5","Epha3"
"1894","Efna5_Epha6","Efna5","Epha6"
"1895","Nppb_Npr3","Nppb","Npr3"
"1896","Nppa_Npr3","Nppa","Npr3"
"1897","Ostn_Npr3","Ostn","Npr3"
"1898","Bmp4_Acvr2a","Bmp4","Acvr2a"
"1899","Lefty2_Acvr2a","Lefty2","Acvr2a"
"1900","Cthrc1_Fzd5","Cthrc1","Fzd5"
"1901","Hmgb1_Itgam","Hmgb1","Itgam"
"1902","Icam1_Itgam","Icam1","Itgam"
"1903","Cfh_Itgam","Cfh","Itgam"
"1904","Hp_Itgam","Hp","Itgam"
"1905","Cxcl12_Ackr3","Cxcl12","Ackr3"
"1906","Col18a1_Itgb5","Col18a1","Itgb5"
"1907","Spp1_Itgb5","Spp1","Itgb5"
"1908","Adam9_Itgb5","Adam9","Itgb5"
"1909","Gh_Ghr","Gh","Ghr"
"1910","Cxcl12_Agtr1a","Cxcl12","Agtr1a"
"1911","Efna5_Epha1","Efna5","Epha1"
"1912","Afdn_Nectin2","Afdn","Nectin2"
"1913","Ccl19_Ackr4","Ccl19","Ackr4"
"1914","Ntn1_Unc5b","Ntn1","Unc5b"
"1915","Col8a1_Itga1","Col8a1","Itga1"
"1916","Ngf_Sorcs3","Ngf","Sorcs3"
"1917","Ihh_Hhip","Ihh","Hhip"
"1918","Vwf_Tnfrsf11b","Vwf","Tnfrsf11b"
"1919","Dll4_Notch2","Dll4","Notch2"
"1920","Dll3_Notch2","Dll3","Notch2"
"1921","Psen1_Notch2","Psen1","Notch2"
"1922","Dlk1_Notch2","Dlk1","Notch2"
"1923","Egfl7_Notch2","Egfl7","Notch2"
"1924","Ntf3_Ntrk2","Ntf3","Ntrk2"
"1925","Apoe_Lrp2","Apoe","Lrp2"
"1926","Selenop_Lrp2","Selenop","Lrp2"
"1927","Tcn2_Lrp2","Tcn2","Lrp2"
"1928","Cubn_Lrp2","Cubn","Lrp2"
"1929","Nrg3_Erbb3","Nrg3","Erbb3"
"1930","Nrg2_Erbb3","Nrg2","Erbb3"
"1931","L1cam_Erbb3","L1cam","Erbb3"
"1932","Fgf3_Fgfr1","Fgf3","Fgfr1"
"1933","Fgf11_Fgfr1","Fgf11","Fgfr1"
"1934","Ncam1_Fgfr1","Ncam1","Fgfr1"
"1935","Fgf14_Fgfr1","Fgf14","Fgfr1"
"1936","Fgf12_Fgfr1","Fgf12","Fgfr1"
"1937","Colq_Musk","Colq","Musk"
"1938","Agrn_Musk","Agrn","Musk"
"1939","Wnt11_Musk","Wnt11","Musk"
"1940","Calm1_Scn10a","Calm1","Scn10a"
"1941","Hmgb1_Tlr9","Hmgb1","Tlr9"
"1942","Apoe_Scarb1","Apoe","Scarb1"
"1943","Ptn_Alk","Ptn","Alk"
"1944","Alkal1_Alk","Alkal1","Alk"
"1945","Gdf2_Alk","Gdf2","Alk"
"1946","Bmp6_Bmpr2","Bmp6","Bmpr2"
"1947","Gdf2_Bmpr2","Gdf2","Bmpr2"
"1948","Dll4_Notch3","Dll4","Notch3"
"1949","Dll3_Notch3","Dll3","Notch3"
"1950","Psen1_Notch3","Psen1","Notch3"
"1951","Dlk1_Notch3","Dlk1","Notch3"
"1952","Egfl7_Notch3","Egfl7","Notch3"
"1953","Thbs2_Notch3","Thbs2","Notch3"
"1954","Fgf3_Fgfr3","Fgf3","Fgfr3"
"1955","Fgf11_Fgfr3","Fgf11","Fgfr3"
"1956","Fgf14_Fgfr3","Fgf14","Fgfr3"
"1957","Hsp90aa1_Fgfr3","Hsp90aa1","Fgfr3"
"1958","Fgf12_Fgfr3","Fgf12","Fgfr3"
"1959","Col4a6_Itgb1","Col4a6","Itgb1"
"1960","Col4a5_Itgb1","Col4a5","Itgb1"
"1961","Fga_Itgb1","Fga","Itgb1"
"1962","Jam2_Itgb1","Jam2","Itgb1"
"1963","Tnc_Itgb1","Tnc","Itgb1"
"1964","Hspg2_Itgb1","Hspg2","Itgb1"
"1965","Col4a3_Itgb1","Col4a3","Itgb1"
"1966","L1cam_Itgb1","L1cam","Itgb1"
"1967","Spp1_Itgb1","Spp1","Itgb1"
"1968","Lama2_Itgb1","Lama2","Itgb1"
"1969","Reln_Itgb1","Reln","Itgb1"
"1970","Lgals3_Itgb1","Lgals3","Itgb1"
"1971","Ptn_Ptprz1","Ptn","Ptprz1"
"1972","Vegfa_Ptprz1","Vegfa","Ptprz1"
"1973","Gdf10_Acvr1","Gdf10","Acvr1"
"1974","Bmp6_Acvr1","Bmp6","Acvr1"
"1975","Gdf2_Acvr1","Gdf2","Acvr1"
"1976","Igf2_Insr","Igf2","Insr"
"1977","Ptn_Ptprb","Ptn","Ptprb"
"1978","Vegfa_Ptprb","Vegfa","Ptprb"
"1979","Gip_Gipr","Gip","Gipr"
"1980","Il1rn_Il1rl2","Il1rn","Il1rl2"
"1981","Ccl20_Ccr6","Ccl20","Ccr6"
"1982","Il19_Il20rb","Il19","Il20rb"
"1983","Il24_Il20rb","Il24","Il20rb"
"1984","Tnc_Itga7","Tnc","Itga7"
"1985","Col4a6_Cd93","Col4a6","Cd93"
"1986","Gng13_Kcnj6","Gng13","Kcnj6"
"1987","Gng2_Kcnj6","Gng2","Kcnj6"
"1988","Gng12_Kcnj6","Gng12","Kcnj6"
"1989","Gnb4_Kcnj6","Gnb4","Kcnj6"
"1990","Camp_P2rx7","Camp","P2rx7"
"1991","Vwf_Itga2b","Vwf","Itga2b"
"1992","Fga_Itga2b","Fga","Itga2b"
"1993","Reln_Itga2b","Reln","Itga2b"
"1994","Rtn4_Cntnap1","Rtn4","Cntnap1"
"1995","Ccl19_Ccr7","Ccl19","Ccr7"
"1996","Ccl21c_Ccr7","Ccl21c","Ccr7"
"1997","Ccl21b_Ccr7","Ccl21b","Ccr7"
"1998","Sftpa1_Sirpa","Sftpa1","Sirpa"
"1999","Omg_Rtn4rl1","Omg","Rtn4rl1"
"2000","Ngf_Trpv1","Ngf","Trpv1"
"2001","Il24_Il22ra1","Il24","Il22ra1"
"2002","Ngf_Sort1","Ngf","Sort1"
"2003","Vwf_Itga4","Vwf","Itga4"
"2004","Jam2_Itga4","Jam2","Itga4"
"2005","Spp1_Itga4","Spp1","Itga4"
"2006","Thpo_Mpl","Thpo","Mpl"
"2007","Cd200_Cd200r2","Cd200","Cd200r2"
"2008","Icosl_Icos","Icosl","Icos"
"2009","Agrn_Atp1a3","Agrn","Atp1a3"
"2010","Slit2_Robo4","Slit2","Robo4"
"2011","Cntf_Cntfr","Cntf","Cntfr"
"2012","Hspg2_Col13a1","Hspg2","Col13a1"
"2013","Calm1_Oprm1","Calm1","Oprm1"
"2014","Ntn1_Unc5c","Ntn1","Unc5c"
"2015","Lgals3_Itgb4","Lgals3","Itgb4"
"2016","Apoe_Lrp8","Apoe","Lrp8"
"2017","Selenop_Lrp8","Selenop","Lrp8"
"2018","Reln_Lrp8","Reln","Lrp8"
"2019","Tctn1_Tmem67","Tctn1","Tmem67"
"2020","Nxph1_Nrxn2","Nxph1","Nrxn2"
"2021","Vegfa_Kdr","Vegfa","Kdr"
"2022","Vegfa_Nrp2","Vegfa","Nrp2"
"2023","Wnt11_Fzd7","Wnt11","Fzd7"
"2024","Slit2_Robo3","Slit2","Robo3"
"2025","Sema6b_Plxna4","Sema6b","Plxna4"
"2026","Slit2_Robo2","Slit2","Robo2"
"2027","Ihh_Cdon","Ihh","Cdon"
"2028","Nrg3_Erbb4","Nrg3","Erbb4"
"2029","Nrg4_Erbb4","Nrg4","Erbb4"
"2030","Adamts3_Ccbe1","Adamts3","Ccbe1"
"2031","Bmp6_Acvr2b","Bmp6","Acvr2b"
"2032","Pdgfd_Pdgfra","Pdgfd","Pdgfra"
"2033","Apoe_Vldlr","Apoe","Vldlr"
